year,city,country,avg_temp,10Moving_Avg
1743,Helsinki,Finland,1.55,
1744,Helsinki,Finland,6.32,
1745,Helsinki,Finland,-5.95,
1750,Helsinki,Finland,5.14,
1751,Helsinki,Finland,4.68,
1752,Helsinki,Finland,-0.29,
1753,Helsinki,Finland,4.14,
1754,Helsinki,Finland,4.15,
1755,Helsinki,Finland,4.05,
1756,Helsinki,Finland,4.47,2.83
1757,Helsinki,Finland,4.75,3.15
1758,Helsinki,Finland,2.66,2.78
1759,Helsinki,Finland,4.08,3.78
1760,Helsinki,Finland,2.79,3.55
1761,Helsinki,Finland,4.55,3.54
1762,Helsinki,Finland,4.22,3.99
1763,Helsinki,Finland,3.35,3.91
1764,Helsinki,Finland,4.55,3.95
1765,Helsinki,Finland,4.22,3.96
1766,Helsinki,Finland,4.75,3.99
1767,Helsinki,Finland,3.99,3.92
1768,Helsinki,Finland,3.35,3.99
1769,Helsinki,Finland,4.03,3.98
1770,Helsinki,Finland,4.15,4.12
1771,Helsinki,Finland,3.25,3.99
1772,Helsinki,Finland,3.77,3.94
1773,Helsinki,Finland,5.33,4.14
1774,Helsinki,Finland,4.01,4.09
1775,Helsinki,Finland,5.71,4.23
1776,Helsinki,Finland,4.68,4.23
1777,Helsinki,Finland,3.96,4.22
1778,Helsinki,Finland,4.23,4.31
1779,Helsinki,Finland,5.62,4.47
1780,Helsinki,Finland,3.85,4.44
1781,Helsinki,Finland,4.38,4.55
1782,Helsinki,Finland,3.29,4.51
1783,Helsinki,Finland,4.43,4.42
1784,Helsinki,Finland,3.29,4.34
1785,Helsinki,Finland,2.77,4.05
1786,Helsinki,Finland,3.14,3.9
1787,Helsinki,Finland,4.31,3.93
1788,Helsinki,Finland,3.32,3.84
1789,Helsinki,Finland,4.84,3.76
1790,Helsinki,Finland,4.23,3.8
1791,Helsinki,Finland,5.24,3.89
1792,Helsinki,Finland,4.18,3.98
1793,Helsinki,Finland,4.76,4.01
1794,Helsinki,Finland,5.7,4.25
1795,Helsinki,Finland,3.74,4.35
1796,Helsinki,Finland,4.7,4.5
1797,Helsinki,Finland,5.69,4.64
1798,Helsinki,Finland,5.15,4.82
1799,Helsinki,Finland,3.24,4.66
1800,Helsinki,Finland,3.73,4.61
1801,Helsinki,Finland,4.61,4.55
1802,Helsinki,Finland,4.07,4.54
1803,Helsinki,Finland,3.26,4.39
1804,Helsinki,Finland,3.77,4.2
1805,Helsinki,Finland,3.4,4.16
1806,Helsinki,Finland,3.97,4.09
1807,Helsinki,Finland,3.86,3.91
1808,Helsinki,Finland,3.54,3.75
1809,Helsinki,Finland,2.24,3.65
1810,Helsinki,Finland,2.55,3.53
1811,Helsinki,Finland,4.19,3.49
1812,Helsinki,Finland,2.64,3.34
1813,Helsinki,Finland,4.15,3.43
1814,Helsinki,Finland,2.98,3.35
1815,Helsinki,Finland,3.84,3.4
1816,Helsinki,Finland,3.51,3.35
1817,Helsinki,Finland,3.75,3.34
1818,Helsinki,Finland,4.62,3.45
1819,Helsinki,Finland,4.41,3.66
1820,Helsinki,Finland,3.52,3.76
1821,Helsinki,Finland,4.21,3.76
1822,Helsinki,Finland,6.07,4.11
1823,Helsinki,Finland,4.27,4.12
1824,Helsinki,Finland,4.87,4.31
1825,Helsinki,Finland,4.54,4.38
1826,Helsinki,Finland,5.98,4.62
1827,Helsinki,Finland,4.65,4.71
1828,Helsinki,Finland,3.39,4.59
1829,Helsinki,Finland,2.07,4.36
1830,Helsinki,Finland,3.73,4.38
1831,Helsinki,Finland,3.95,4.35
1832,Helsinki,Finland,4.23,4.17
1833,Helsinki,Finland,4.46,4.19
1834,Helsinki,Finland,4.37,4.14
1835,Helsinki,Finland,3.68,4.05
1836,Helsinki,Finland,3.88,3.84
1837,Helsinki,Finland,3.86,3.76
1838,Helsinki,Finland,2.49,3.67
1839,Helsinki,Finland,3.46,3.81
1840,Helsinki,Finland,2.83,3.72
1841,Helsinki,Finland,4.32,3.76
1842,Helsinki,Finland,4.48,3.78
1843,Helsinki,Finland,4.56,3.79
1844,Helsinki,Finland,2.52,3.61
1845,Helsinki,Finland,3.23,3.56
1846,Helsinki,Finland,4.43,3.62
1847,Helsinki,Finland,4.16,3.65
1848,Helsinki,Finland,4.34,3.83
1849,Helsinki,Finland,3.3,3.82
1850,Helsinki,Finland,3.57,3.89
1851,Helsinki,Finland,4.48,3.91
1852,Helsinki,Finland,3.29,3.79
1853,Helsinki,Finland,4.25,3.76
1854,Helsinki,Finland,4.62,3.97
1855,Helsinki,Finland,3.27,3.97
1856,Helsinki,Finland,2.36,3.76
1857,Helsinki,Finland,4.38,3.79
1858,Helsinki,Finland,5.04,3.86
1859,Helsinki,Finland,5.25,4.05
1860,Helsinki,Finland,3.78,4.07
1861,Helsinki,Finland,4.04,4.03
1862,Helsinki,Finland,1.96,3.9
1863,Helsinki,Finland,5.75,4.05
1864,Helsinki,Finland,3.51,3.93
1865,Helsinki,Finland,3.47,3.95
1866,Helsinki,Finland,4.22,4.14
1867,Helsinki,Finland,1.72,3.87
1868,Helsinki,Finland,4.35,3.81
1869,Helsinki,Finland,4.75,3.76
1870,Helsinki,Finland,3.38,3.72
1871,Helsinki,Finland,2.32,3.54
1872,Helsinki,Finland,5.38,3.89
1873,Helsinki,Finland,4.77,3.79
1874,Helsinki,Finland,4.7,3.91
1875,Helsinki,Finland,2.14,3.77
1876,Helsinki,Finland,3.05,3.66
1877,Helsinki,Finland,3.2,3.8
1878,Helsinki,Finland,5.08,3.88
1879,Helsinki,Finland,3.86,3.79
1880,Helsinki,Finland,3.87,3.84
1881,Helsinki,Finland,2.71,3.88
1882,Helsinki,Finland,5.21,3.86
1883,Helsinki,Finland,4.41,3.82
1884,Helsinki,Finland,4.2,3.77
1885,Helsinki,Finland,4.1,3.97
1886,Helsinki,Finland,4.42,4.11
1887,Helsinki,Finland,4.78,4.26
1888,Helsinki,Finland,2.19,3.98
1889,Helsinki,Finland,4.27,4.02
1890,Helsinki,Finland,5.12,4.14
1891,Helsinki,Finland,4.46,4.32
1892,Helsinki,Finland,2.99,4.09
1893,Helsinki,Finland,2.47,3.9
1894,Helsinki,Finland,5.2,4
1895,Helsinki,Finland,3.83,3.97
1896,Helsinki,Finland,4.91,4.02
1897,Helsinki,Finland,4.77,4.02
1898,Helsinki,Finland,4.62,4.26
1899,Helsinki,Finland,3.42,4.18
1900,Helsinki,Finland,3.49,4.02
1901,Helsinki,Finland,4.7,4.04
1902,Helsinki,Finland,2.25,3.97
1903,Helsinki,Finland,5.29,4.25
1904,Helsinki,Finland,3.53,4.08
1905,Helsinki,Finland,4.63,4.16
1906,Helsinki,Finland,5.22,4.19
1907,Helsinki,Finland,3.3,4.05
1908,Helsinki,Finland,3.96,3.98
1909,Helsinki,Finland,4.02,4.04
1910,Helsinki,Finland,5.59,4.25
1911,Helsinki,Finland,4.65,4.24
1912,Helsinki,Finland,3.85,4.4
1913,Helsinki,Finland,5.15,4.39
1914,Helsinki,Finland,5.27,4.56
1915,Helsinki,Finland,2.33,4.33
1916,Helsinki,Finland,4.19,4.23
1917,Helsinki,Finland,3.51,4.25
1918,Helsinki,Finland,4.34,4.29
1919,Helsinki,Finland,3.69,4.26
1920,Helsinki,Finland,5.67,4.27
1921,Helsinki,Finland,4.61,4.26
1922,Helsinki,Finland,3.69,4.25
1923,Helsinki,Finland,3.58,4.09
1924,Helsinki,Finland,4.75,4.04
1925,Helsinki,Finland,5.04,4.31
1926,Helsinki,Finland,3.6,4.25
1927,Helsinki,Finland,4.08,4.31
1928,Helsinki,Finland,4.17,4.29
1929,Helsinki,Finland,3.92,4.31
1930,Helsinki,Finland,5.84,4.33
1931,Helsinki,Finland,3.66,4.23
1932,Helsinki,Finland,5.27,4.39
1933,Helsinki,Finland,4.14,4.45
1934,Helsinki,Finland,6.51,4.62
1935,Helsinki,Finland,5.08,4.63
1936,Helsinki,Finland,5.65,4.83
1937,Helsinki,Finland,5.66,4.99
1938,Helsinki,Finland,6.45,5.22
1939,Helsinki,Finland,5.11,5.34
1940,Helsinki,Finland,3.04,5.06
1941,Helsinki,Finland,1.96,4.89
1942,Helsinki,Finland,2.4,4.6
1943,Helsinki,Finland,5.95,4.78
1944,Helsinki,Finland,5.36,4.67
1945,Helsinki,Finland,4.27,4.59
1946,Helsinki,Finland,4.56,4.48
1947,Helsinki,Finland,3.86,4.3
1948,Helsinki,Finland,5.27,4.18
1949,Helsinki,Finland,6.22,4.29
1950,Helsinki,Finland,4.8,4.47
1951,Helsinki,Finland,4.65,4.73
1952,Helsinki,Finland,3.95,4.89
1953,Helsinki,Finland,5.38,4.83
1954,Helsinki,Finland,4.73,4.77
1955,Helsinki,Finland,3.54,4.7
1956,Helsinki,Finland,2.97,4.54
1957,Helsinki,Finland,5.03,4.65
1958,Helsinki,Finland,3.53,4.48
1959,Helsinki,Finland,5.49,4.41
1960,Helsinki,Finland,4.4,4.37
1961,Helsinki,Finland,6.12,4.51
1962,Helsinki,Finland,4.1,4.53
1963,Helsinki,Finland,3.95,4.39
1964,Helsinki,Finland,4.67,4.38
1965,Helsinki,Finland,4.05,4.43
1966,Helsinki,Finland,3.28,4.46
1967,Helsinki,Finland,4.86,4.45
1968,Helsinki,Finland,3.97,4.49
1969,Helsinki,Finland,3.43,4.28
1970,Helsinki,Finland,3.91,4.23
1971,Helsinki,Finland,4.62,4.08
1972,Helsinki,Finland,5.55,4.23
1973,Helsinki,Finland,4.93,4.33
1974,Helsinki,Finland,6.03,4.46
1975,Helsinki,Finland,6.38,4.7
1976,Helsinki,Finland,3.28,4.7
1977,Helsinki,Finland,4.08,4.62
1978,Helsinki,Finland,3.18,4.54
1979,Helsinki,Finland,4.27,4.62
1980,Helsinki,Finland,4.09,4.64
1981,Helsinki,Finland,4.5,4.63
1982,Helsinki,Finland,4.88,4.56
1983,Helsinki,Finland,5.47,4.62
1984,Helsinki,Finland,5.33,4.55
1985,Helsinki,Finland,2.81,4.19
1986,Helsinki,Finland,4.25,4.29
