year,avg_temp,10 Moving Average,Helsinki,italy,Nigeria,Spain,,,
1750,8.72,,,,,,,,
1751,7.98,,,,,,,,
1752,5.78,,,,,,,,
1753,8.39,,,,,,,,
1754,8.47,,,,,,,,
1755,8.36,,,,,,,,
1756,8.85,,2.83,5.58,,10.19,,,
1757,9.02,,3.15,5.88,,10.66,,,
1758,6.74,,2.78,5.66,,10.45,,,
1759,7.99,8.03,3.78,6.36,,11.04,,,
1760,7.19,7.88,3.55,6.32,,10.93,,,
1761,8.77,7.96,3.54,6.24,,10.81,,,
1762,8.61,8.24,3.99,6.65,,11.24,,,
1763,7.5,8.15,3.91,6.61,,11.18,,,
1764,8.4,8.14,3.95,6.65,,11.17,,,
1765,8.25,8.13,3.96,6.70,,11.20,,,
1766,8.41,8.09,3.99,6.69,,11.19,,,
1767,8.22,8.01,3.92,6.68,,11.20,,,
1768,6.78,8.01,3.99,6.70,,11.25,,,
1769,7.69,7.98,3.98,6.66,,11.24,,,
1770,7.69,8.03,4.12,6.60,,11.26,,,
1771,7.85,7.94,3.99,6.58,,11.26,,,
1772,8.19,7.9,3.94,6.72,,11.34,,,
1773,8.22,7.97,4.14,6.74,,11.37,,,
1774,8.77,8.01,4.09,6.70,,11.40,,Helsinki,0.849581822
1775,9.18,8.1,4.23,6.75,,11.45,,Italy,0.869730906
1776,8.3,8.09,4.23,6.76,,11.46,,Nigeria,0.830116524
1777,8.26,8.09,4.22,6.77,,11.44,,Spain,0.879200438
1778,8.54,8.27,4.31,6.87,,11.53,,,
1779,8.98,8.4,4.47,6.95,,11.58,,,
1780,9.43,8.57,4.44,7.01,,11.70,,,
1781,8.1,8.6,4.55,7.09,,11.72,,,
1782,7.9,8.57,4.51,6.88,,11.59,,,
1783,7.68,8.51,4.42,6.95,,11.61,,,
1784,7.86,8.42,4.34,6.91,,11.55,,,
1785,7.36,8.24,4.05,6.82,,11.45,,,
1786,8.26,8.24,3.9,6.79,,11.45,,,
1787,8.03,8.21,3.93,6.87,,11.47,,,
1788,8.45,8.21,3.84,6.87,,11.51,,,
1789,8.33,8.14,3.76,6.75,,11.40,,,
1790,7.98,8,3.8,6.75,,11.33,,,
1791,8.23,8.01,3.89,6.73,,11.31,,,
1792,8.09,8.03,3.98,6.81,,11.38,,,
1793,8.23,8.08,4.01,6.79,,11.40,,,
1794,8.53,8.15,4.25,6.92,,11.43,,,
1795,8.35,8.25,4.35,6.95,,11.49,,,
1796,8.27,8.25,4.5,6.99,,11.49,,,
1797,8.51,8.3,4.64,7.00,,11.46,,,
1798,8.67,8.32,4.82,6.97,,11.41,,,
1799,8.51,8.34,4.66,6.90,,11.44,,,
1800,8.48,8.39,4.61,6.91,,11.48,,,
1801,8.59,8.42,4.55,6.90,,11.50,,,
1802,8.58,8.47,4.54,6.96,,11.53,,,
1803,8.5,8.5,4.39,6.91,,11.53,,,
1804,8.84,8.53,4.2,6.86,,11.59,,,
1805,8.56,8.55,4.16,6.76,,11.55,,,
1806,8.43,8.57,4.09,6.80,,11.58,,,
1807,8.28,8.54,3.91,6.78,,11.58,,,
1808,7.63,8.44,3.75,6.65,,11.47,,,
1809,7.08,8.3,3.65,6.72,,11.44,,,
1810,6.92,8.14,3.53,6.66,,11.28,,,
1811,6.86,7.97,3.49,6.70,,11.19,,,
1812,7.05,7.82,3.34,6.49,,11.04,,,
1813,7.74,7.74,3.43,6.45,,10.95,,,
1814,7.59,7.61,3.35,6.30,,10.77,,,
1815,7.24,7.48,3.4,6.40,,10.74,,,
1816,6.94,7.33,3.35,6.20,,10.59,,,
1817,6.98,7.2,3.34,6.15,,10.61,,,
1818,7.83,7.22,3.45,6.29,,10.73,,,
1819,7.37,7.25,3.66,6.36,,10.77,,,
1820,7.62,7.32,3.76,6.33,,10.81,,,
1821,8.09,7.45,3.76,6.24,,10.90,,,
1822,8.19,7.56,4.11,6.50,,11.02,,,
1823,7.72,7.56,4.12,6.50,,11.06,,,
1824,8.55,7.65,4.31,6.64,,11.18,,,
1825,8.39,7.77,4.38,6.72,,11.26,,,
1826,8.36,7.91,4.62,6.88,,11.37,,,
1827,8.81,8.09,4.71,6.89,,11.36,,,
1828,8.17,8.13,4.59,6.93,,11.35,,,
1829,7.94,8.18,4.36,6.78,,11.33,,,
1830,8.52,8.27,4.38,6.78,,11.38,,,
1831,7.64,8.23,4.35,6.80,,11.37,,,
1832,7.45,8.16,4.17,6.65,,11.32,,,
1833,8.01,8.18,4.19,6.69,,11.32,,,
1834,8.15,8.14,4.14,6.76,,11.39,,,
1835,7.39,8.04,4.05,6.65,,11.32,,,
1836,7.7,7.98,3.84,6.58,,11.30,,,
1837,7.38,7.84,3.76,6.51,,11.29,,,
1838,7.51,7.77,3.67,6.34,,11.25,,,
1839,7.63,7.74,3.81,6.48,,11.28,,,
1840,7.8,7.67,3.72,6.46,,11.25,,,
1841,7.69,7.67,3.76,6.46,,11.21,,,
1842,8.02,7.73,3.78,6.43,,11.21,,,
1843,8.17,7.74,3.79,6.40,,11.24,,,
1844,7.65,7.69,3.61,6.28,,11.16,,,
1845,7.85,7.74,3.56,6.28,,11.14,,,
1846,8.55,7.83,3.62,6.41,,11.22,,,
1847,8.09,7.9,3.65,6.45,,11.24,,,
1848,7.98,7.94,3.83,6.53,,11.21,,,
1849,7.98,7.98,3.82,6.52,,11.23,,,
1850,7.9,7.99,3.89,6.49,,11.27,,,
1851,8.18,8.04,3.91,6.39,,11.25,,,
1852,8.1,8.05,3.79,6.45,,11.31,,,
1853,8.04,8.03,3.76,6.38,,11.22,,,
1854,8.21,8.09,3.97,6.38,,11.21,,,
1855,8.11,8.11,3.97,6.33,,11.19,,,
1856,8,8.06,3.76,6.24,,11.19,,,
1857,7.76,8.03,3.79,6.27,,11.20,,,
1858,8.1,8.04,3.86,6.20,,11.27,,,
1859,8.25,8.07,4.05,6.22,,11.27,,,
1860,7.96,8.07,4.07,6.17,,11.18,,,
1861,7.85,8.04,4.03,6.27,,11.21,,,
1862,7.56,7.98,3.9,6.31,25.97,11.16,,,
1863,8.11,7.99,4.05,6.47,26.02,11.23,,,
1864,7.98,7.97,3.93,6.43,26.04,11.26,,,
1865,8.18,7.98,3.95,6.56,26.01,11.34,,,
1866,8.29,8,4.14,6.61,25.96,11.30,,,
1867,8.44,8.07,3.87,6.64,26.05,11.32,,,
1868,8.25,8.09,3.81,6.78,26.08,11.33,,,
1869,8.43,8.11,3.76,6.74,26.03,11.34,,,
1870,8.2,8.13,3.72,6.83,26.05,11.45,,,
1871,8.12,8.16,3.54,6.74,26.09,11.44,,,
1872,8.19,8.22,3.89,6.73,26.10,11.44,,,
1873,8.35,8.24,3.79,6.71,26.10,11.45,,,
1874,8.43,8.29,3.91,6.76,26.13,11.46,,,
1875,7.86,8.26,3.77,6.71,26.15,11.48,,,
1876,8.08,8.24,3.66,6.67,26.16,11.51,,,
1877,8.54,8.25,3.8,6.67,26.03,11.50,,,
1878,8.83,8.3,3.88,6.59,25.95,11.47,,,
1879,8.17,8.28,3.79,6.52,25.91,11.43,,,
1880,8.12,8.27,3.84,6.60,25.78,11.38,,,
1881,8.27,8.28,3.88,6.65,25.67,11.46,,,
1882,8.13,8.28,3.86,6.61,25.62,11.44,,,
1883,7.98,8.24,3.82,6.50,25.55,11.38,,,
1884,7.77,8.18,3.77,6.51,25.46,11.30,,,
1885,7.92,8.18,3.97,6.52,25.45,11.19,,,
1886,7.95,8.17,4.11,6.51,25.45,11.12,,,
1887,7.91,8.11,4.26,6.39,25.57,11.04,,,
1888,8.09,8.03,3.98,6.33,25.61,10.93,,,
1889,8.32,8.05,4.02,6.32,25.71,10.87,,,
1890,7.97,8.03,4.14,6.22,25.86,10.81,,,
1891,8.02,8.01,4.32,6.16,25.99,10.69,,,
1892,8.07,8,4.09,6.13,26.05,10.70,,,
1893,8.06,8.01,3.9,6.21,26.05,10.83,,,
1894,8.16,8.05,4,6.22,26.04,10.83,,,
1895,8.15,8.07,3.97,6.18,26.06,10.96,,,
1896,8.21,8.1,4.02,6.13,26.10,10.91,,,
1897,8.29,8.13,4.02,6.27,26.06,11.04,,,
1898,8.18,8.14,4.26,6.42,26.10,11.15,,,
1899,8.4,8.15,4.18,6.57,26.08,11.36,,,
1900,8.5,8.2,4.02,6.69,26.05,11.46,,,
1901,8.54,8.26,4.04,6.70,25.97,11.48,,,
1902,8.3,8.28,3.97,6.70,25.97,11.46,,,
1903,8.22,8.3,4.25,6.67,26.07,11.38,,,
1904,8.09,8.29,4.08,6.73,26.20,11.47,,,
1905,8.23,8.3,4.16,6.74,26.26,11.38,,,
1906,8.38,8.31,4.19,6.81,26.30,11.45,,,
1907,7.95,8.28,4.05,6.78,26.40,11.37,,,
1908,8.19,8.28,3.98,6.69,26.43,11.38,,,
1909,8.18,8.26,4.04,6.58,26.49,11.22,,,
1910,8.22,8.23,4.25,6.51,26.55,11.15,,,
1911,8.18,8.19,4.24,6.64,26.65,11.18,,,
1912,8.17,8.18,4.4,6.61,26.71,11.16,,,
1913,8.3,8.19,4.39,6.62,26.71,11.19,,,
1914,8.59,8.24,4.56,6.55,26.73,11.13,,,
1915,8.59,8.28,4.33,6.55,26.71,11.18,,,
1916,8.23,8.26,4.23,6.54,26.75,11.17,,,
1917,8.02,8.27,4.25,6.47,26.74,11.11,,,
1918,8.13,8.26,4.29,6.48,26.77,11.07,,,
1919,8.38,8.28,4.26,6.48,26.75,11.08,,,
1920,8.36,8.3,4.27,6.59,26.76,11.18,,,
1921,8.57,8.33,4.26,6.62,26.77,11.23,,,
1922,8.41,8.36,4.25,6.64,26.75,11.25,,,
1923,8.42,8.37,4.09,6.68,26.78,11.24,,,
1924,8.51,8.36,4.04,6.69,26.77,11.28,,,
1925,8.53,8.36,4.31,6.71,26.80,11.22,,,
1926,8.73,8.41,4.25,6.77,26.76,11.31,,,
1927,8.52,8.46,4.31,6.89,26.77,11.40,,,
1928,8.63,8.51,4.29,6.96,26.78,11.47,,,
1929,8.24,8.49,4.31,7.00,26.77,11.55,,,
1930,8.63,8.52,4.33,6.98,26.77,11.55,,,
1931,8.72,8.53,4.23,6.85,26.82,11.53,,,
1932,8.71,8.56,4.39,6.87,26.87,11.51,,,
1933,8.34,8.56,4.45,6.80,26.83,11.52,,,
1934,8.63,8.57,4.62,6.88,26.85,11.50,,,
1935,8.52,8.57,4.63,6.90,26.86,11.56,,,
1936,8.55,8.55,4.83,6.88,26.87,11.46,,,
1937,8.7,8.57,4.99,6.86,26.87,11.51,,,
1938,8.86,8.59,5.22,6.83,26.85,11.53,,,
1939,8.76,8.64,5.34,6.82,26.91,11.47,,,
1940,8.76,8.66,5.06,6.69,26.88,11.44,,,
1941,8.77,8.66,4.89,6.66,26.84,11.40,,,
1942,8.73,8.66,4.6,6.68,26.81,11.47,,,
1943,8.76,8.7,4.78,6.82,26.82,11.54,,,
1944,8.85,8.73,4.67,6.73,26.74,11.53,,,
1945,8.58,8.73,4.59,6.81,26.68,11.66,,,
1946,8.68,8.75,4.48,6.84,26.64,11.65,,,
1947,8.8,8.76,4.3,6.90,26.60,11.68,,,
1948,8.75,8.74,4.18,6.96,26.61,11.74,,,
1949,8.59,8.73,4.29,7.09,26.58,11.86,,,
1950,8.37,8.69,4.47,7.26,26.60,11.92,,,
1951,8.63,8.67,4.73,7.37,26.55,11.93,,,
1952,8.64,8.67,4.89,7.38,26.54,11.92,,,
1953,8.87,8.68,4.83,7.34,26.58,11.88,,,
