year,city,country,avg_temp,moving average
1743,Milan,Italy,3.31,
1744,Milan,Italy,8.17,
1745,Milan,Italy,0.18,
1750,Milan,Italy,7.51,
1751,Milan,Italy,7.77,
1752,Milan,Italy,2.65,
1753,Milan,Italy,6.83,
1754,Milan,Italy,6.53,
1755,Milan,Italy,6.27,
1756,Milan,Italy,6.61,5.58
1757,Milan,Italy,6.3,5.88
1758,Milan,Italy,5.97,5.66
1759,Milan,Italy,7.14,6.36
1760,Milan,Italy,7.15,6.32
1761,Milan,Italy,6.99,6.24
1762,Milan,Italy,6.69,6.65
1763,Milan,Italy,6.48,6.61
1764,Milan,Italy,6.93,6.65
1765,Milan,Italy,6.73,6.70
1766,Milan,Italy,6.54,6.69
1767,Milan,Italy,6.15,6.68
1768,Milan,Italy,6.23,6.70
1769,Milan,Italy,6.67,6.66
1770,Milan,Italy,6.56,6.60
1771,Milan,Italy,6.79,6.58
1772,Milan,Italy,8.13,6.72
1773,Milan,Italy,6.65,6.74
1774,Milan,Italy,6.57,6.70
1775,Milan,Italy,7.18,6.75
1776,Milan,Italy,6.62,6.76
1777,Milan,Italy,6.33,6.77
1778,Milan,Italy,7.16,6.87
1779,Milan,Italy,7.55,6.95
1780,Milan,Italy,7.09,7.01
1781,Milan,Italy,7.57,7.09
1782,Milan,Italy,6.11,6.88
1783,Milan,Italy,7.27,6.95
1784,Milan,Italy,6.26,6.91
1785,Milan,Italy,6.26,6.82
1786,Milan,Italy,6.34,6.79
1787,Milan,Italy,7.05,6.87
1788,Milan,Italy,7.24,6.87
1789,Milan,Italy,6.28,6.75
1790,Milan,Italy,7.15,6.75
1791,Milan,Italy,7.3,6.73
1792,Milan,Italy,6.91,6.81
1793,Milan,Italy,7.08,6.79
1794,Milan,Italy,7.57,6.92
1795,Milan,Italy,6.53,6.95
1796,Milan,Italy,6.79,6.99
1797,Milan,Italy,7.18,7.00
1798,Milan,Italy,6.88,6.97
1799,Milan,Italy,5.65,6.90
1800,Milan,Italy,7.17,6.91
1801,Milan,Italy,7.21,6.90
1802,Milan,Italy,7.53,6.96
1803,Milan,Italy,6.62,6.91
1804,Milan,Italy,7.08,6.86
1805,Milan,Italy,5.5,6.76
1806,Milan,Italy,7.2,6.80
1807,Milan,Italy,6.95,6.78
1808,Milan,Italy,5.57,6.65
1809,Milan,Italy,6.36,6.72
1810,Milan,Italy,6.59,6.66
1811,Milan,Italy,7.59,6.70
1812,Milan,Italy,5.42,6.49
1813,Milan,Italy,6.27,6.45
1814,Milan,Italy,5.57,6.30
1815,Milan,Italy,6.45,6.40
1816,Milan,Italy,5.2,6.20
1817,Milan,Italy,6.51,6.15
1818,Milan,Italy,6.95,6.29
1819,Milan,Italy,7,6.36
1820,Milan,Italy,6.36,6.33
1821,Milan,Italy,6.65,6.24
1822,Milan,Italy,8.01,6.50
1823,Milan,Italy,6.31,6.50
1824,Milan,Italy,6.97,6.64
1825,Milan,Italy,7.28,6.72
1826,Milan,Italy,6.78,6.88
1827,Milan,Italy,6.54,6.89
1828,Milan,Italy,7.43,6.93
1829,Milan,Italy,5.44,6.78
1830,Milan,Italy,6.39,6.78
1831,Milan,Italy,6.83,6.80
1832,Milan,Italy,6.51,6.65
1833,Milan,Italy,6.77,6.69
1834,Milan,Italy,7.59,6.76
1835,Milan,Italy,6.18,6.65
1836,Milan,Italy,6.15,6.58
1837,Milan,Italy,5.81,6.51
1838,Milan,Italy,5.72,6.34
1839,Milan,Italy,6.85,6.48
1840,Milan,Italy,6.19,6.46
1841,Milan,Italy,6.87,6.46
1842,Milan,Italy,6.19,6.43
1843,Milan,Italy,6.44,6.40
1844,Milan,Italy,6.38,6.28
1845,Milan,Italy,6.19,6.28
1846,Milan,Italy,7.46,6.41
1847,Milan,Italy,6.24,6.45
1848,Milan,Italy,6.46,6.53
1849,Milan,Italy,6.77,6.52
1850,Milan,Italy,5.88,6.49
1851,Milan,Italy,5.85,6.39
1852,Milan,Italy,6.81,6.45
1853,Milan,Italy,5.79,6.38
1854,Milan,Italy,6.36,6.38
