year,Comedy,Action,Adventure,Western,Science Fiction,Drama,Family,Crime,Romance,War,Thriller,Fantasy,History,Mystery,Animation,Horror,Music,Documentary,TVMovie,Foreign
1960,2,2,1,1,0,3,0,0,2,0,1,0,1,0,0,1,0,0,0,0
1961,4,2,2,1,0,6,2,1,1,1,0,0,1,0,1,1,1,0,0,0
1962,0,2,3,2,0,5,0,1,0,1,1,0,1,0,0,0,0,0,0,0
1963,1,2,2,0,0,3,0,0,2,1,3,0,3,1,0,1,0,0,0,0
1964,3,1,1,0,0,4,2,1,2,1,2,1,0,1,0,0,3,0,0,0
1965,1,2,2,0,0,3,1,0,2,1,1,0,1,0,0,0,1,0,0,0
1966,0,2,2,1,1,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0
1967,5,3,5,0,0,7,2,4,4,1,3,1,0,1,1,0,2,0,0,0
1968,0,2,3,1,3,6,1,1,1,2,1,0,1,3,0,1,1,0,0,0
1969,0,1,2,2,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0
1970,5,4,4,2,1,7,1,1,3,3,1,0,2,2,1,0,0,0,0,0
1971,0,6,2,0,4,7,1,5,2,0,8,1,0,2,0,0,1,0,0,0
1972,2,3,2,0,1,3,0,3,0,0,3,0,0,1,0,0,0,0,0,0
1973,3,4,1,0,2,7,1,6,1,0,3,0,1,0,1,1,0,0,0,0
1974,2,6,2,1,1,8,0,5,1,0,7,0,0,2,0,1,0,0,0,0
1975,3,0,2,0,1,5,0,1,1,1,2,1,0,0,0,2,2,0,0,0
1976,3,3,2,1,2,7,1,3,2,0,6,0,1,2,0,3,1,0,0,0
1977,2,6,7,0,6,9,2,1,1,1,6,5,1,1,2,5,2,0,0,0
1978,2,5,5,0,3,7,1,1,0,2,5,2,0,2,2,5,2,0,0,0
1979,3,6,5,0,6,7,2,1,1,1,4,0,1,1,0,2,0,0,0,0
1980,5,5,3,2,5,8,0,3,6,0,5,3,3,3,0,5,2,0,0,0
1981,9,6,6,0,5,8,3,1,3,0,9,3,2,3,1,8,0,0,0,0
1982,6,8,6,1,7,12,4,2,5,2,8,5,1,2,1,5,2,0,0,0
1983,5,10,7,1,10,12,1,6,6,0,13,4,1,4,2,7,3,0,0,1
1984,16,16,11,0,11,13,3,4,7,2,8,8,3,1,0,7,6,1,0,0
1985,19,12,17,0,7,14,6,2,8,2,10,7,0,1,1,7,0,0,0,0
1986,16,13,10,0,10,19,4,7,9,2,8,7,1,3,1,13,2,0,0,0
1987,23,12,7,0,8,18,5,10,11,2,12,6,2,3,0,10,2,0,0,0
1988,25,14,7,0,8,22,6,11,9,2,19,5,1,1,2,18,1,0,0,1
1989,24,16,13,0,8,19,8,10,5,3,16,5,1,2,2,7,0,0,0,0
1990,18,19,11,1,11,22,5,14,7,0,20,8,0,5,1,13,1,0,0,0
1991,22,21,12,1,6,20,9,14,7,1,20,6,1,2,2,2,4,0,0,0
1992,17,17,9,2,6,27,6,13,8,1,22,3,3,4,1,8,2,0,0,1
1993,23,21,14,2,6,36,10,15,14,2,25,6,3,9,2,9,1,0,0,1
1994,26,21,10,2,10,21,9,14,12,2,21,12,1,5,5,5,0,1,0,0
1995,23,28,15,1,11,42,7,17,18,2,28,9,3,7,2,6,0,0,0,0
1996,26,24,18,0,12,46,7,13,18,2,34,11,2,8,3,9,1,0,0,0
1997,25,31,20,0,18,39,8,19,9,1,40,8,3,16,3,11,2,1,0,0
1998,39,21,18,1,14,43,8,20,20,3,24,8,4,12,4,10,4,0,0,0
1999,56,25,12,1,20,55,9,20,22,3,35,13,1,18,4,15,1,0,0,0
2000,42,29,19,1,14,44,12,17,16,3,32,10,2,9,7,8,5,0,0,1
2001,49,39,20,1,11,46,11,27,29,4,39,12,3,17,7,10,3,0,0,0
2002,43,41,25,1,16,63,14,22,28,5,47,9,4,15,6,12,2,2,0,1
2003,45,39,23,2,13,40,15,24,18,3,38,14,4,10,6,11,4,1,0,0
2004,60,40,30,3,18,59,16,20,31,5,38,10,5,13,9,14,5,2,0,0
2005,58,40,33,2,13,79,26,25,30,3,46,19,7,14,7,24,5,1,0,0
2006,64,38,33,1,13,88,25,27,29,6,52,18,8,15,12,15,4,3,0,0
2007,52,39,24,2,12,73,17,36,30,3,52,20,6,18,9,27,9,3,0,0
2008,54,49,37,1,25,78,19,27,32,9,50,18,7,14,11,9,3,1,0,1
2009,63,40,34,0,31,79,23,22,35,3,54,19,5,21,12,20,6,1,0,0
2010,69,51,31,3,16,83,22,27,32,1,53,21,4,16,10,22,1,4,0,2
2011,71,58,32,2,23,87,24,25,32,4,62,19,3,16,14,16,6,4,0,0
2012,54,41,25,1,23,66,12,24,26,5,55,15,2,7,11,19,7,1,0,0
2013,47,49,33,2,20,80,19,34,21,2,52,16,8,7,14,19,7,0,0,0
2014,48,44,29,1,23,79,14,17,20,9,41,14,4,9,10,18,5,0,0,0
2015,52,37,34,2,22,81,13,24,18,5,47,13,5,13,9,17,9,0,0,0
